ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-10-06,Eminem,1,2,222,1
2018-10-06,Josh Groban,2,0,17,2
2018-10-06,BrockHampton,3,0,2,3
2018-10-06,Drake,1,3,222,4
2018-10-06,Imagine Dragons,1,6,190,5
2018-10-06,Post Malone,1,5,118,6
2018-10-06,BTS,1,4,103,7
2018-10-06,Travis Scott,1,7,125,8
2018-10-06,Ariana Grande,1,8,190,9
2018-10-06,XXXTENTACION,1,12,59,10
2018-10-06,Cardi B,1,10,63,11
2018-10-06,Ed Sheeran,1,9,216,12
2018-10-06,Prince,1,0,49,13
2018-10-06,Lauren Daigle,3,18,30,14
2018-10-06,Maroon 5,1,13,222,15
2018-10-06,Carrie Underwood,1,1,159,16
2018-10-06,Juice WRLD,12,15,19,17
2018-10-06,Luke Combs,5,16,82,18
2018-10-06,5 Seconds Of Summer,1,21,79,19
2018-10-06,Khalid,11,11,82,20
2018-10-06,Kane Brown,5,24,67,21
2018-10-06,Ella Mai,17,19,23,22
2018-10-06,Taylor Swift,1,20,218,23
2018-10-06,Bruno Mars,1,23,210,24
2018-10-06,Shawn Mendes,1,32,190,25
2018-10-06,Florida Georgia Line,1,29,222,26
2018-10-06,Panic! At The Disco,1,33,106,27
2018-10-06,The Story So Far,28,0,2,28
2018-10-06,Joe Bonamassa,29,0,5,29
2018-10-06,Bebe Rexha,23,27,84,30
2018-10-06,6ix9ine,13,28,37,31
2018-10-06,Nicki Minaj,2,26,211,32
2018-10-06,Chris Stapleton,1,36,153,33
2018-10-06,Dan + Shay,11,34,44,34
2018-10-06,The Chainsmokers,1,55,148,35
2018-10-06,Marshmello,25,41,50,36
2018-10-06,Camila Cabello,1,30,94,37
2018-10-06,Selena Gomez,2,35,191,38
2018-10-06,Machine Gun Kelly,11,31,29,39
2018-10-06,Lil Uzi Vert,2,48,101,40
2018-10-06,Avril Lavigne,41,0,0,41
2018-10-06,Lil Baby,25,37,20,42
2018-10-06,Thomas Rhett,1,38,191,43
2018-10-06,Kendrick Lamar,1,43,193,44
2018-10-06,Jason Aldean,1,25,200,45
2018-10-06,Charlie Puth,6,46,174,46
2018-10-06,Tyga,27,44,27,47
2018-10-06,Dua Lipa,10,49,57,48
2018-10-06,Young Thug,11,0,81,49
2018-10-06,YoungBoy Never Broke Again,26,61,39,50
2018-10-06,Bazzi,34,54,35,51
2018-10-06,DJ Khaled,2,57,100,52
2018-10-06,J Balvin,16,52,55,53
2018-10-06,Slash,54,0,2,54
2018-10-06,Lil Pump,12,53,39,55
2018-10-06,Kanye West,1,47,104,56
2018-10-06,Cole Swindell,8,67,145,57
2018-10-06,Kid Rock,5,0,18,58
2018-10-06,Luke Bryan,1,56,221,59
2018-10-06,NF,8,63,51,60
2018-10-06,6LACK,14,14,3,61
2018-10-06,Migos,1,60,103,62
2018-10-06,Halsey,1,59,146,63
2018-10-06,Brett Young,26,42,95,64
2018-10-06,lovelytheband,65,70,8,65
2018-10-06,Lauv,43,62,22,66
2018-10-06,Old Dominion,10,69,105,67
2018-10-06,Paul McCartney,1,17,18,68
2018-10-06,Bad Bunny,30,71,28,69
2018-10-06,twenty one pilots,1,73,180,70
2018-10-06,Michael Jackson,20,86,187,71
2018-10-06,Kenny Chesney,1,66,158,72
2018-10-06,Lil Peep,73,0,2,73
2018-10-06,Willie Nelson,18,45,7,74
2018-10-06,Billy Gibbons,75,0,0,75
2018-10-06,Russell Dickerson,69,80,12,76
2018-10-06,The Weeknd,1,76,207,77
2018-10-06,Childish Gambino,3,58,86,78
2018-10-06,Normani,65,74,10,79
2018-10-06,Mac Miller,6,22,7,80
2018-10-06,Queen,44,78,22,81
2018-10-06,Metallica,2,77,172,82
2018-10-06,Weezer,15,81,14,83
2018-10-06,BAEKHYUN,84,0,0,84
2018-10-06,Bastille,15,0,28,85
2018-10-06,Ozuna,17,82,46,86
2018-10-06,Adele,1,95,190,87
2018-10-06,Sheck Wes,88,0,0,88
2018-10-06,Justin Timberlake,1,89,171,89
2018-10-06,P!nk,1,79,125,90
2018-10-06,Quavo,47,88,40,91
2018-10-06,Aretha Franklin,2,64,8,92
2018-10-06,French Montana,10,0,29,93
2018-10-06,Maren Morris,15,92,90,94
2018-10-06,Louis Tomlinson,33,91,12,95
2018-10-06,Earth_ Wind & Fire,74,0,2,96
2018-10-06,Dierks Bentley,3,65,108,97
2018-10-06,Bryce Vine,80,94,5,98
2018-10-06,Lynyrd Skynyrd,40,83,32,99
2018-10-06,Rihanna,2,97,214,100
