ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-10-20,Lady Gaga,1,30,84,1
2018-10-20,twenty one pilots,1,62,182,2
2018-10-20,Bradley Cooper,3,47,2,3
2018-10-20,Eric Church,4,0,158,4
2018-10-20,Lil Wayne,1,1,21,5
2018-10-20,Drake,1,5,224,6
2018-10-20,BTS,1,4,105,7
2018-10-20,Post Malone,1,8,120,8
2018-10-20,Imagine Dragons,1,7,192,9
2018-10-20,Steve Perry,10,0,0,10
2018-10-20,Eminem,1,6,224,11
2018-10-20,Lil Baby,12,42,22,12
2018-10-20,for KING & COUNTRY,13,0,2,13
2018-10-20,XXXTENTACION,1,9,61,14
2018-10-20,Cardi B,1,11,65,15
2018-10-20,Ariana Grande,1,10,192,16
2018-10-20,Halsey,1,41,148,17
2018-10-20,Travis Scott,1,12,127,18
2018-10-20,Juice WRLD,12,15,21,19
2018-10-20,Ed Sheeran,1,13,218,20
2018-10-20,Maroon 5,1,14,224,21
2018-10-20,Gunna,22,0,0,22
2018-10-20,Khalid,11,19,84,23
2018-10-20,Taylor Swift,1,25,220,24
2018-10-20,Luke Combs,5,16,84,25
2018-10-20,Ella Mai,17,21,25,26
2018-10-20,Shawn Mendes,1,22,192,27
2018-10-20,5 Seconds Of Summer,1,20,81,28
2018-10-20,6ix9ine,13,39,39,29
2018-10-20,Bruno Mars,1,26,212,30
2018-10-20,Camila Cabello,1,34,96,31
2018-10-20,Coheed And Cambria,22,0,2,32
2018-10-20,Panic! At The Disco,1,31,108,33
2018-10-20,Kane Brown,5,24,69,34
2018-10-20,Lauren Daigle,3,23,32,35
2018-10-20,Selena Gomez,2,29,193,36
2018-10-20,Dan + Shay,11,33,46,37
2018-10-20,Marshmello,25,28,52,38
2018-10-20,Kendrick Lamar,1,27,195,39
2018-10-20,Florida Georgia Line,1,32,224,40
2018-10-20,Bebe Rexha,23,35,86,41
2018-10-20,Chris Stapleton,1,38,155,42
2018-10-20,Sheck Wes,43,89,3,43
2018-10-20,Nicki Minaj,2,36,213,44
2018-10-20,Charlie Puth,6,40,176,45
2018-10-20,Kevin Gates,5,17,53,46
2018-10-20,Carrie Underwood,1,37,161,47
2018-10-20,Bad Bunny,30,61,30,48
2018-10-20,Bazzi,34,50,37,49
2018-10-20,Dua Lipa,10,56,59,50
2018-10-20,Jason Aldean,1,43,202,51
2018-10-20,Tyga,27,52,29,52
2018-10-20,Thomas Rhett,1,44,193,53
2018-10-20,lovelytheband,54,60,10,54
2018-10-20,NF,8,53,53,55
2018-10-20,Cher,2,2,2,56
2018-10-20,Bastille,15,64,30,57
2018-10-20,Old Dominion,10,78,107,58
2018-10-20,Lauv,43,45,24,59
2018-10-20,T.I.,7,0,29,60
2018-10-20,P!nk,1,87,127,61
2018-10-20,Ice Nine Kills,62,0,0,62
2018-10-20,The Chainsmokers,1,65,150,63
2018-10-20,DJ Khaled,2,59,102,64
2018-10-20,Queen,44,88,24,65
2018-10-20,Kanye West,1,54,106,66
2018-10-20,Kodak Black,6,49,68,67
2018-10-20,J Balvin,16,63,57,68
2018-10-20,Lil Uzi Vert,2,69,103,69
2018-10-20,Brett Young,26,71,97,70
2018-10-20,Lil Pump,12,75,41,71
2018-10-20,Michael Jackson,20,70,189,72
2018-10-20,Aretha Franklin,2,51,10,73
2018-10-20,Migos,1,66,105,74
2018-10-20,Young Thug,11,58,83,75
2018-10-20,DJ Snake,16,46,100,76
2018-10-20,Russell Dickerson,69,72,14,77
2018-10-20,Tom Petty And The Heartbreakers,1,18,15,78
2018-10-20,Cole Swindell,8,68,147,79
2018-10-20,Rihanna,2,0,215,80
2018-10-20,YoungBoy Never Broke Again,26,81,41,81
2018-10-20,Zedd,17,0,84,82
2018-10-20,Lindsey Buckingham,83,0,2,83
2018-10-20,Normani,65,83,12,84
2018-10-20,Luke Bryan,1,67,223,85
2018-10-20,Maren Morris,15,86,92,86
2018-10-20,Ozuna,17,79,48,87
2018-10-20,Quavo,47,97,42,88
2018-10-20,Kenny Chesney,1,74,160,89
2018-10-20,The Weeknd,1,80,209,90
2018-10-20,Adele,1,96,192,91
2018-10-20,Louis Tomlinson,33,84,14,92
2018-10-20,Justin Bieber,1,0,213,93
2018-10-20,Matt Nathanson,94,0,0,94
2018-10-20,Lynyrd Skynyrd,40,93,34,95
2018-10-20,Bryce Vine,80,91,7,96
2018-10-20,Gregory Alan Isakov,97,0,0,97
2018-10-20,Justin Timberlake,1,94,173,98
2018-10-20,YG,16,95,34,99
2018-10-20,Sam Smith,1,100,139,100
