ChartDate,ArtistName,Position,LastPosition,PositionChange,WeeksOnChart,DailyMentions,TrackingWeekDailyMentions,DailyMentionsDiff,DailyMentionsMult,AvgFollowers,MaxFollowers,DailyFollowers,TrackingWeekDailyFollowers,DailyFollowersDiff,DailyFollowersMult
2018-08-25T00:00:00.000000000,Pentatonix,101,101,0,50,894.3333333,894.3333333,0,1,982516.6667,982578,40.33333333,40.33333333,0,1
2018-08-25T00:00:00.000000000,Bebe Rexha,39,42,3,77,3616.666667,3616.666667,0,1,1142029.667,1142394,252.3333333,252.3333333,0,1
2018-08-25T00:00:00.000000000,Dua Lipa,40,34,-6,50,3166.666667,3166.666667,0,1,2439779.333,2441378,1056,1056,0,1
2018-08-25T00:00:00.000000000,Sheck Wes,101,101,0,-1,495,495,0,1,30124,30450,217.6666667,217.6666667,0,1
2018-08-25T00:00:00.000000000,Bad Bunny,45,43,-2,21,0,0,0,0,0,0,0,0,0,0
2018-08-25T00:00:00.000000000,Grateful Dead,101,101,0,14,0,0,0,0,129735.3333,129773,20.66666667,20.66666667,0,1
2018-08-25T00:00:00.000000000,Tyga,42,38,-4,20,5116.666667,5116.666667,0,1,5475845.333,5476890,884,884,0,1
2018-08-25T00:00:00.000000000,6ix9ine,34,24,-10,30,2533.333333,2533.333333,0,1,251333.3333,252403,688,688,0,1
2018-08-25T00:00:00.000000000,Nicki Minaj,2,45,43,204,300,300,0,1,20193862.33,20211795,12879,12879,0,1
2018-08-25T00:00:00.000000000,Tory Lanez,101,101,0,47,1133.333333,1133.333333,0,1,1409475,1409539,34,34,0,1
2018-08-25T00:00:00.000000000,Florida Georgia Line,20,18,-2,215,814.5,814.5,0,1,2026936.333,2027004,43,43,0,1
2018-08-25T00:00:00.000000000,NF,59,58,-1,44,709.5,709.5,0,1,304721.3333,304939,146.6666667,146.6666667,0,1
2018-08-25T00:00:00.000000000,Selena Gomez,41,40,-1,184,8566.666667,8566.666667,0,1,56248475.67,56255570,4521,4521,0,1
2018-08-25T00:00:00.000000000,Bazzi,46,35,-11,28,5383.333333,5383.333333,0,1,216100,216979,580,580,0,1
2018-08-25T00:00:00.000000000,Josh Turner,101,101,0,9,40,40,0,1,579393.6667,579407,8.333333333,8.333333333,0,1
2018-08-25T00:00:00.000000000,Jason Aldean,24,21,-3,193,323,323,0,1,3691215.333,3691293,43.33333333,43.33333333,0,1
2018-08-25T00:00:00.000000000,Bastille,101,101,0,27,702.3333333,702.3333333,0,1,1467028.333,1467116,51.66666667,51.66666667,0,1
2018-08-25T00:00:00.000000000,lovelytheband,82,78,-4,1,624,624,0,1,17641.66667,17665,20,20,0,1
2018-08-25T00:00:00.000000000,Thomas Rhett,32,27,-5,184,643,643,0,1,2284822.667,2285224,233.3333333,233.3333333,0,1
2018-08-25T00:00:00.000000000,Kendrick Lamar,38,39,1,186,764,764,0,1,10831324.33,10835457,2720.666667,2720.666667,0,1
2018-08-25T00:00:00.000000000,Gunna,101,101,0,-1,883.3333333,883.3333333,0,1,101452.6667,102221,504.6666667,504.6666667,0,1
2018-08-25T00:00:00.000000000,Future,101,101,0,148,1566.333333,1566.333333,0,1,5168829,5170766,1254.333333,1254.333333,0,1
2018-08-25T00:00:00.000000000,DJ Snake,101,101,0,98,1272,1272,0,1,1382838.333,1383289,295,295,0,1
2018-08-25T00:00:00.000000000,Eric Church,101,101,0,153,413.3333333,413.3333333,0,1,2065137.667,2065226,69.33333333,69.33333333,0,1
2018-08-25T00:00:00.000000000,Carrie Underwood,99,87,-12,154,850,850,0,1,8404059.333,8404285,150.6666667,150.6666667,0,1
2018-08-25T00:00:00.000000000,Robyn,101,101,0,-1,64.33333333,64.33333333,0,1,359597.6667,359604,5.333333333,5.333333333,0,1
2018-08-25T00:00:00.000000000,The Chainsmokers,61,61,0,141,656.6666667,656.6666667,0,1,3482581,3482666,58,58,0,1
2018-08-25T00:00:00.000000000,Lauv,73,65,-8,15,666.6666667,666.6666667,0,1,153881.3333,154051,100.3333333,100.3333333,0,1
2018-08-25T00:00:00.000000000,Jimmie Allen,101,101,0,-1,68.66666667,68.66666667,0,1,26482.33333,26499,10.66666667,10.66666667,0,1
2018-08-25T00:00:00.000000000,Quavo,58,0,-58,33,3733.333333,3733.333333,0,1,1811762.333,1814647,1806.666667,1806.666667,0,1
2018-08-25T00:00:00.000000000,Brett Young,33,26,-7,88,195.6666667,195.6666667,0,1,113607.3333,113711,67.33333333,67.33333333,0,1
2018-08-25T00:00:00.000000000,Swae Lee,101,101,0,-1,9800,9800,0,1,548331.3333,549153,508,508,0,1
2018-08-25T00:00:00.000000000,"Bobby ""Boris"" Pickett And The Crypt-Kickers",101,101,0,1,0,0,0,0,0,0,0,0,0,0
2018-08-25T00:00:00.000000000,Steve Aoki,101,101,0,1,2477.666667,2477.666667,0,1,8207664.667,8207731,58.33333333,58.33333333,0,1
2018-08-25T00:00:00.000000000,YoungBoy Never Broke Again,66,91,25,32,4066.666667,4066.666667,0,1,989196,992934,2383.666667,2383.666667,0,1
2018-08-25T00:00:00.000000000,NCT,101,101,0,4,100,100,0,1,1521004,1523590,1538.333333,1538.333333,0,1
2018-08-25T00:00:00.000000000,Rihanna,94,0,-94,208,3833.333333,3833.333333,0,1,86981342.33,86989661,4426,4426,0,1
2018-08-25T00:00:00.000000000,Lukas Graham,101,101,0,45,42.66666667,42.66666667,0,1,199924.6667,199942,13.66666667,13.66666667,0,1
2018-08-25T00:00:00.000000000,Maren Morris,100,94,-6,84,661,661,0,1,531562.3333,531690,76.33333333,76.33333333,0,1
2018-08-25T00:00:00.000000000,Zedd,92,97,5,82,2000,2000,0,1,8147513.333,8147748,144,144,0,1
2018-08-25T00:00:00.000000000,Lil Pump,101,101,0,36,2233.333333,2233.333333,0,1,1074960.333,1076666,1094.333333,1094.333333,0,1
2018-08-25T00:00:00.000000000,Lynyrd Skynyrd,68,56,-12,25,215.3333333,215.3333333,0,1,152716.6667,152759,29,29,0,1
2018-08-25T00:00:00.000000000,Adele,75,75,0,183,887.5,887.5,0,1,27923782.67,27923834,35,35,0,1
2018-08-25T00:00:00.000000000,Metallica,69,59,-10,165,525,525,0,1,5698777,5698864,63.66666667,63.66666667,0,1
2018-08-25T00:00:00.000000000,Migos,43,44,1,96,1986.5,1986.5,0,1,2426762.667,2429007,1406.666667,1406.666667,0,1
2018-08-25T00:00:00.000000000,The Weeknd,49,64,15,200,6200,6200,0,1,9505941.667,9510469,2895,2895,0,1
2018-08-25T00:00:00.000000000,J Balvin,31,30,-1,48,3278,3278,0,1,5779187,5780359,801.6666667,801.6666667,0,1
2018-08-25T00:00:00.000000000,Normani,77,77,0,3,47.33333333,47.33333333,0,1,2379364.333,2379564,153.3333333,153.3333333,0,1
2018-08-25T00:00:00.000000000,Justin Bieber,72,66,-6,206,5100,5100,0,1,104282032.3,104287484,2737.333333,2737.333333,0,1
2018-08-25T00:00:00.000000000,Luke Bryan,37,31,-6,214,621.6666667,621.6666667,0,1,9681194.667,9681248,41,41,0,1
2018-08-25T00:00:00.000000000,Mitchell Tenpenny,101,101,0,-1,61.33333333,61.33333333,0,1,16254.66667,16285,16.66666667,16.66666667,0,1
2018-08-25T00:00:00.000000000,Ozuna,95,93,-2,39,294.6666667,294.6666667,0,1,478914,479318,261.3333333,261.3333333,0,1
2018-08-25T00:00:00.000000000,Offset,101,101,0,8,661.6666667,661.6666667,0,1,1332504.333,1334787,1455,1455,0,1
2018-08-25T00:00:00.000000000,Kenny Chesney,19,12,-7,151,483,483,0,1,2713649.667,2713697,31,31,0,1
2018-08-25T00:00:00.000000000,Thom Yorke,101,101,0,-1,181.6666667,181.6666667,0,1,1019227.667,1019236,7.333333333,7.333333333,0,1
2018-08-25T00:00:00.000000000,LAY,101,101,0,-1,20,20,0,1,130524,130526,2,2,0,1
2018-08-25T00:00:00.000000000,RM,101,101,0,-1,0,0,0,0,2894.666667,2895,0.333333333,0.333333333,0,1
2018-08-25T00:00:00.000000000,Jason Isbell And The 400 Unit,101,101,0,2,0,0,0,0,0,0,0,0,0,0
2018-08-25T00:00:00.000000000,Ace Frehley,101,101,0,2,82.5,82.5,0,1,198054,198107,31,31,0,1
2018-08-25T00:00:00.000000000,Logic,101,101,0,50,971,971,0,1,2384902.667,2385255,259.3333333,259.3333333,0,1
2018-08-25T00:00:00.000000000,Elle King,101,101,0,54,133,133,0,1,61184.33333,61208,12.66666667,12.66666667,0,1
2018-08-25T00:00:00.000000000,NCT 127,101,101,0,-1,0,0,0,0,858483.3333,860658,1291.666667,1291.666667,0,1
2018-08-25T00:00:00.000000000,Louis Tomlinson,101,101,0,7,300,300,0,1,32901838,32903921,1460.666667,1460.666667,0,1
2018-08-25T00:00:00.000000000,Lindsey Stirling,101,101,0,8,264.3333333,264.3333333,0,1,545921.6667,545954,28,28,0,1
2018-08-25T00:00:00.000000000,Steve Perry,101,101,0,-1,0,0,0,0,0,0,0,0,0,0
2018-08-25T00:00:00.000000000,Old Dominion,63,57,-6,98,211.3333333,211.3333333,0,1,258331.3333,258410,45,45,0,1
2018-08-25T00:00:00.000000000,Charlie Puth,48,48,0,167,3233.333333,3233.333333,0,1,2566422,2567204,502,502,0,1
2018-08-25T00:00:00.000000000,Kevin Gates,101,101,0,51,410,410,0,1,902704.3333,902954,176.3333333,176.3333333,0,1
2018-08-25T00:00:00.000000000,Cole Swindell,89,0,-89,138,780.3333333,780.3333333,0,1,644387.6667,644511,78.66666667,78.66666667,0,1
2018-08-25T00:00:00.000000000,for KING & COUNTRY,101,101,0,1,0,0,0,0,0,0,0,0,0,0
2018-08-25T00:00:00.000000000,Lil Yachty,101,101,0,47,7100,7100,0,1,4411040.667,4413939,1893.666667,1893.666667,0,1
