Name,NbsId,MetricDate,Mentions
OneRepublic,63,9/4/2018 0:00,156
OneRepublic,63,9/5/2018 0:00,211
OneRepublic,63,9/6/2018 0:00,157
OneRepublic,63,9/7/2018 0:00,263
OneRepublic,63,9/8/2018 0:00,300
OneRepublic,63,9/9/2018 0:00,206
OneRepublic,63,9/10/2018 0:00,100
OneRepublic,63,9/11/2018 0:00,85
OneRepublic,63,9/12/2018 0:00,119
OneRepublic,63,9/13/2018 0:00,123
OneRepublic,63,9/14/2018 0:00,161
OneRepublic,63,9/15/2018 0:00,275
OneRepublic,63,9/16/2018 0:00,261
OneRepublic,63,9/17/2018 0:00,219
OneRepublic,63,9/18/2018 0:00,169
OneRepublic,63,9/19/2018 0:00,238
OneRepublic,63,9/20/2018 0:00,8
OneRepublic,63,9/21/2018 0:00,282
OneRepublic,63,9/22/2018 0:00,179
OneRepublic,63,9/23/2018 0:00,109
OneRepublic,63,9/24/2018 0:00,162
OneRepublic,63,9/25/2018 0:00,293
OneRepublic,63,9/26/2018 0:00,179
OneRepublic,63,9/27/2018 0:00,94
OneRepublic,63,9/28/2018 0:00,160
OneRepublic,63,9/29/2018 0:00,124
OneRepublic,63,9/30/2018 0:00,135
OneRepublic,63,10/2/2018 0:00,250
OneRepublic,63,10/3/2018 0:00,100
OneRepublic,63,10/4/2018 0:00,205
OneRepublic,63,10/5/2018 0:00,512
OneRepublic,63,10/6/2018 0:00,227
OneRepublic,63,10/7/2018 0:00,340
OneRepublic,63,10/8/2018 0:00,257
OneRepublic,63,10/9/2018 0:00,125
OneRepublic,63,10/10/2018 0:00,254
OneRepublic,63,10/11/2018 0:00,8
OneRepublic,63,10/12/2018 0:00,179
OneRepublic,63,10/13/2018 0:00,181
OneRepublic,63,10/15/2018 0:00,394
OneRepublic,63,10/16/2018 0:00,144
OneRepublic,63,10/17/2018 0:00,93
OneRepublic,63,10/19/2018 0:00,123
OneRepublic,63,10/20/2018 0:00,100
OneRepublic,63,10/21/2018 0:00,100
OneRepublic,63,10/22/2018 0:00,106
OneRepublic,63,10/23/2018 0:00,135
OneRepublic,63,10/24/2018 0:00,77
OneRepublic,63,10/25/2018 0:00,119
OneRepublic,63,10/26/2018 0:00,119
OneRepublic,63,10/27/2018 0:00,93
OneRepublic,63,10/28/2018 0:00,143
OneRepublic,63,10/29/2018 0:00,116
OneRepublic,63,10/30/2018 0:00,209
OneRepublic,63,10/31/2018 0:00,241
OneRepublic,63,11/1/2018 0:00,228
OneRepublic,63,11/2/2018 0:00,225
OneRepublic,63,11/3/2018 0:00,50
OneRepublic,63,11/4/2018 0:00,57
OneRepublic,63,11/5/2018 0:00,253
OneRepublic,63,11/6/2018 0:00,13
OneRepublic,63,11/7/2018 0:00,150
OneRepublic,63,11/8/2018 0:00,176
OneRepublic,63,11/9/2018 0:00,315
Katy Perry,652,8/14/2018 0:00,4050
Katy Perry,652,8/15/2018 0:00,4300
