Name,NbsId,MetricDate,Followers
Andrea Bocelli,29127,8/14/2018 0:00,235434
Andrea Bocelli,29127,8/15/2018 0:00,235428
Andrea Bocelli,29127,8/16/2018 0:00,235456
Andrea Bocelli,29127,8/17/2018 0:00,235607
Andrea Bocelli,29127,8/18/2018 0:00,235698
Andrea Bocelli,29127,8/19/2018 0:00,235761
Andrea Bocelli,29127,8/20/2018 0:00,235806
Andrea Bocelli,29127,8/21/2018 0:00,235809
Andrea Bocelli,29127,8/22/2018 0:00,235841
Andrea Bocelli,29127,8/23/2018 0:00,235858
Andrea Bocelli,29127,8/24/2018 0:00,235863
Andrea Bocelli,29127,8/25/2018 0:00,235886
Andrea Bocelli,29127,8/26/2018 0:00,235957
Andrea Bocelli,29127,8/27/2018 0:00,235980
Andrea Bocelli,29127,8/28/2018 0:00,236004
Andrea Bocelli,29127,8/29/2018 0:00,236022
Andrea Bocelli,29127,8/30/2018 0:00,236042
Andrea Bocelli,29127,8/31/2018 0:00,236046
Andrea Bocelli,29127,9/1/2018 0:00,236055
Andrea Bocelli,29127,9/2/2018 0:00,236042
Andrea Bocelli,29127,9/3/2018 0:00,236049
Andrea Bocelli,29127,9/4/2018 0:00,236048
Andrea Bocelli,29127,9/5/2018 0:00,236064
Andrea Bocelli,29127,9/6/2018 0:00,236079
Andrea Bocelli,29127,9/9/2018 0:00,236155
Andrea Bocelli,29127,9/11/2018 0:00,236331
Andrea Bocelli,29127,9/12/2018 0:00,236325
Andrea Bocelli,29127,9/13/2018 0:00,236349
Andrea Bocelli,29127,9/14/2018 0:00,236362
Andrea Bocelli,29127,9/15/2018 0:00,236388
Andrea Bocelli,29127,9/16/2018 0:00,236416
Andrea Bocelli,29127,9/17/2018 0:00,236415
Andrea Bocelli,29127,9/18/2018 0:00,236443
Andrea Bocelli,29127,9/19/2018 0:00,236459
Andrea Bocelli,29127,9/20/2018 0:00,236479
Andrea Bocelli,29127,9/21/2018 0:00,236578
Andrea Bocelli,29127,9/22/2018 0:00,236640
Andrea Bocelli,29127,9/23/2018 0:00,236765
Andrea Bocelli,29127,9/24/2018 0:00,236889
Andrea Bocelli,29127,9/25/2018 0:00,236963
Andrea Bocelli,29127,9/26/2018 0:00,237013
Andrea Bocelli,29127,9/27/2018 0:00,237094
Andrea Bocelli,29127,9/28/2018 0:00,237162
