ChartDate,ArtistName,Position,LastPosition,PositionChange,WeeksOnChart,DailyMentions,TrackingWeekDailyMentions,DailyMentionsDiff,DailyMentionsMult,AvgFollowers,MaxFollowers,DailyFollowers,TrackingWeekDailyFollowers,DailyFollowersDiff,DailyFollowersMult
2018-10-06T00:00:00.000000000,Nicky Jam,101,101,0,0,359.6744186046512,303.1666666666667,-56.507751937984494,0.8428919349971982,2136912.9523809524,2149869,642.8809523809524,383.57142857142856,-259.30952380952385,0.596644568719677
2018-10-13T00:00:00.000000000,Nicky Jam,101,101,0,0,346.16326530612247,249.33333333333334,-96.82993197278913,0.7202766969303934,2139169.2653061226,2155508,666.1224489795918,751.4285714285714,85.30612244897964,1.1280637254901962
2018-10-20T00:00:00.000000000,Nicky Jam,101,101,0,0,367.05454545454546,537.6666666666666,170.61212121212117,1.4648140809721946,2141680.6071428573,2162256,703.3571428571429,740.1428571428571,36.78571428571422,1.052300192952168
2018-10-27T00:00:00.000000000,Nicky Jam,101,101,0,0,355.3225806451613,263.14285714285717,-92.17972350230411,0.7405745412100383,2144351.777777778,2166919,699.2222222222222,282.42857142857144,-416.7936507936507,0.4039181857392568
2018-11-03T00:00:00.000000000,Nicky Jam,101,101,0,0,340.40579710144925,208.28571428571428,-132.12008281573497,0.611874756714675,2146827.5857142857,2170820,685.0285714285715,477.0,-208.02857142857147,0.6963213213213213
2018-11-10T00:00:00.000000000,Nicky Jam,101,101,0,0,334.35526315789474,274.7142857142857,-59.64097744360902,0.8216239311434306,2149245.4805194805,2175341,681.4675324675325,552.8571428571429,-128.61038961038957,0.8112743696758333
2018-08-25T00:00:00.000000000,The Decemberists,101,101,0,0,78.33333333333333,78.33333333333333,0.0,1.0,633573.0,633580,4.666666666666667,4.666666666666667,0.0,1.0
2018-09-01T00:00:00.000000000,The Decemberists,101,101,0,0,42.5,27.142857142857142,-15.357142857142858,0.6386554621848739,633531.7,633580,13.3,16.142857142857142,2.8428571428571416,1.21374865735768
2018-09-08T00:00:00.000000000,The Decemberists,101,101,0,0,32.875,16.833333333333332,-16.041666666666668,0.5120405576679341,633479.0588235294,633580,13.235294117647058,11.285714285714286,-1.9495798319327715,0.8526984126984128
2018-09-15T00:00:00.000000000,The Decemberists,101,101,0,0,31.08695652173913,27.0,-4.086956521739129,0.8685314685314686,633434.9166666666,633580,11.541666666666666,7.285714285714286,-4.2559523809523805,0.6312532233109851
2018-09-22T00:00:00.000000000,The Decemberists,101,101,0,0,28.344827586206897,17.833333333333332,-10.511494252873565,0.6291565287915653,633393.4666666667,633580,12.966666666666667,10.5,-2.466666666666667,0.8097686375321337
2018-09-29T00:00:00.000000000,The Decemberists,101,101,0,0,31.666666666666668,45.42857142857143,13.761904761904763,1.4345864661654135,633350.8108108108,633580,11.783783783783784,6.142857142857143,-5.640926640926641,0.52129750982962
2018-10-06T00:00:00.000000000,The Decemberists,101,101,0,0,33.674418604651166,44.0,10.325581395348834,1.3066298342541436,633308.5681818182,633580,12.227272727272727,13.857142857142858,1.629870129870131,1.1332979288369625
2018-10-13T00:00:00.000000000,The Decemberists,101,101,0,0,34.87755102040816,43.5,8.622448979591837,1.2472205968402574,633307.3725490196,634719,33.11764705882353,241.28571428571428,208.16806722689074,7.285714285714286
2018-10-20T00:00:00.000000000,The Decemberists,101,101,0,0,35.767857142857146,42.0,6.232142857142854,1.1742386420369444,633784.5,641567,147.18965517241378,758.0,610.8103448275863,5.149818437390184
2018-10-27T00:00:00.000000000,The Decemberists,101,101,0,0,33.317460317460316,13.714285714285714,-19.6031746031746,0.4116245831348261,634847.3076923077,643728,164.58461538461538,24.285714285714285,-140.2989010989011,0.14755762091712737
2018-11-03T00:00:00.000000000,The Decemberists,101,101,0,0,31.1,11.142857142857142,-19.95714285714286,0.358291226458429,635689.1111111111,643728,148.58333333333334,12.571428571428571,-136.01190476190476,0.08460860507972116
2018-11-10T00:00:00.000000000,The Decemberists,101,101,0,0,32.66233766233766,48.285714285714285,15.623376623376622,1.4783300198807157,636374.7341772151,643728,135.41772151898735,6.285714285714286,-129.13200723327307,0.04641722084234703
2018-08-25T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,113.33333333333333,113.33333333333333,0.0,1.0,208481.33333333334,208526,28.333333333333332,28.333333333333332,0.0,1.0
2018-09-01T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,87.2,76.0,-11.200000000000003,0.8715596330275229,208616.9,208839,39.8,40.42857142857143,0.6285714285714334,1.0157932519741566
