ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-09-29,Carrie Underwood,1,61,158,1
2018-09-29,Eminem,1,2,221,2
2018-09-29,Drake,1,5,221,3
2018-09-29,BTS,1,4,102,4
2018-09-29,Post Malone,1,7,117,5
2018-09-29,Imagine Dragons,1,8,189,6
2018-09-29,Travis Scott,1,11,124,7
2018-09-29,Ariana Grande,1,10,189,8
2018-09-29,Ed Sheeran,1,13,215,9
2018-09-29,Cardi B,1,12,62,10
2018-09-29,Khalid,11,23,81,11
2018-09-29,XXXTENTACION,1,14,58,12
2018-09-29,Maroon 5,1,15,221,13
2018-09-29,6LACK,14,0,2,14
2018-09-29,Juice WRLD,12,16,18,15
2018-09-29,Luke Combs,5,17,81,16
2018-09-29,Paul McCartney,1,1,17,17
2018-09-29,Lauren Daigle,3,3,29,18
2018-09-29,Ella Mai,17,21,22,19
2018-09-29,Taylor Swift,1,24,217,20
2018-09-29,5 Seconds Of Summer,1,26,78,21
2018-09-29,Mac Miller,6,6,6,22
2018-09-29,Bruno Mars,1,30,209,23
2018-09-29,Kane Brown,5,18,66,24
2018-09-29,Jason Aldean,1,38,199,25
2018-09-29,Nicki Minaj,2,20,210,26
2018-09-29,Bebe Rexha,23,41,83,27
2018-09-29,6ix9ine,13,25,36,28
2018-09-29,Florida Georgia Line,1,29,221,29
2018-09-29,Camila Cabello,1,32,93,30
2018-09-29,Machine Gun Kelly,11,22,28,31
2018-09-29,Shawn Mendes,1,27,189,32
2018-09-29,Panic! At The Disco,1,33,105,33
2018-09-29,Dan + Shay,11,35,43,34
2018-09-29,Selena Gomez,2,34,190,35
2018-09-29,Chris Stapleton,1,39,152,36
2018-09-29,Lil Baby,25,56,19,37
2018-09-29,Thomas Rhett,1,36,190,38
2018-09-29,Diana Krall,30,0,4,39
2018-09-29,Tony Bennett,17,0,5,40
2018-09-29,Marshmello,25,49,49,41
2018-09-29,Brett Young,26,58,94,42
2018-09-29,Kendrick Lamar,1,46,192,43
2018-09-29,Tyga,27,40,26,44
2018-09-29,Willie Nelson,18,0,6,45
2018-09-29,Charlie Puth,6,48,173,46
2018-09-29,Kanye West,1,37,103,47
2018-09-29,Lil Uzi Vert,2,0,100,48
2018-09-29,Dua Lipa,10,45,56,49
2018-09-29,Thrice,46,0,2,50
2018-09-29,GOT7,45,0,2,51
2018-09-29,J Balvin,16,42,54,52
2018-09-29,Lil Pump,12,44,38,53
2018-09-29,Bazzi,34,52,34,54
2018-09-29,The Chainsmokers,1,63,147,55
2018-09-29,Luke Bryan,1,50,220,56
2018-09-29,DJ Khaled,2,54,99,57
2018-09-29,Childish Gambino,3,51,85,58
2018-09-29,Halsey,1,60,145,59
2018-09-29,Migos,1,53,102,60
2018-09-29,YoungBoy Never Broke Again,26,43,38,61
2018-09-29,Lauv,43,57,21,62
2018-09-29,NF,8,65,50,63
2018-09-29,Aretha Franklin,2,31,7,64
2018-09-29,Dierks Bentley,3,100,107,65
2018-09-29,Kenny Chesney,1,59,157,66
2018-09-29,Cole Swindell,8,66,144,67
2018-09-29,Sam Smith,1,91,137,68
2018-09-29,Old Dominion,10,68,104,69
2018-09-29,lovelytheband,68,69,7,70
2018-09-29,Bad Bunny,30,55,27,71
2018-09-29,Tori Kelly,6,0,20,72
2018-09-29,twenty one pilots,1,64,179,73
2018-09-29,Normani,65,71,9,74
2018-09-29,Eric Church,8,0,157,75
2018-09-29,The Weeknd,1,73,206,76
2018-09-29,Metallica,2,47,171,77
2018-09-29,Queen,44,74,21,78
2018-09-29,P!nk,1,72,124,79
2018-09-29,Russell Dickerson,69,84,11,80
2018-09-29,Weezer,15,76,13,81
2018-09-29,Ozuna,17,78,45,82
2018-09-29,Lynyrd Skynyrd,40,93,31,83
2018-09-29,Queen Naija,28,97,9,84
2018-09-29,Five Finger Death Punch,3,0,26,85
2018-09-29,Michael Jackson,20,79,186,86
2018-09-29,Justin Bieber,1,87,212,87
2018-09-29,Quavo,47,82,39,88
2018-09-29,Justin Timberlake,1,89,170,89
2018-09-29,Dylan Scott,67,77,12,90
2018-09-29,Louis Tomlinson,33,85,11,91
2018-09-29,Maren Morris,15,92,89,92
2018-09-29,YG,16,88,32,93
2018-09-29,Bryce Vine,80,90,4,94
2018-09-29,Adele,1,81,189,95
2018-09-29,Sia,5,0,182,96
2018-09-29,Rihanna,2,98,213,97
2018-09-29,Offset,75,0,10,98
2018-09-29,SZA,16,96,67,99
2018-09-29,Kodak Black,6,0,66,100
