ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-09-08,BTS,1,9,99,1
2018-09-08,Drake,1,3,218,2
2018-09-08,Travis Scott,1,5,121,3
2018-09-08,Ariana Grande,1,1,186,4
2018-09-08,Post Malone,1,4,114,5
2018-09-08,XXXTENTACION,1,13,55,6
2018-09-08,Imagine Dragons,1,7,186,7
2018-09-08,Nicki Minaj,2,6,207,8
2018-09-08,Cardi B,1,10,59,9
2018-09-08,Ed Sheeran,1,12,212,10
2018-09-08,Maroon 5,1,11,218,11
2018-09-08,Juice WRLD,12,14,15,12
2018-09-08,Alice In Chains,13,0,0,13
2018-09-08,Luke Combs,5,15,78,14
2018-09-08,Florida Georgia Line,1,22,218,15
2018-09-08,Taylor Swift,1,16,214,16
2018-09-08,Ozuna,17,100,42,17
2018-09-08,Khalid,11,20,78,18
2018-09-08,Shawn Mendes,1,19,186,19
2018-09-08,Jason Aldean,1,27,196,20
2018-09-08,5 Seconds Of Summer,1,28,75,21
2018-09-08,Camila Cabello,1,17,90,22
2018-09-08,Ella Mai,17,23,19,23
2018-09-08,Kane Brown,5,24,63,24
2018-09-08,6ix9ine,13,29,33,25
2018-09-08,Panic! At The Disco,1,21,102,26
2018-09-08,Aretha Franklin,2,2,4,27
2018-09-08,Bruno Mars,1,25,206,28
2018-09-08,Thomas Rhett,1,30,187,29
2018-09-08,YoungBoy Never Broke Again,26,65,35,30
2018-09-08,Selena Gomez,2,35,187,31
2018-09-08,Chris Stapleton,1,34,149,32
2018-09-08,Kenny Chesney,1,26,154,33
2018-09-08,J Balvin,16,31,51,34
2018-09-08,Michael Jackson,20,68,183,35
2018-09-08,Dan + Shay,11,38,40,36
2018-09-08,Bebe Rexha,23,37,80,37
2018-09-08,Interpol,38,0,2,38
2018-09-08,Tyga,27,41,23,39
2018-09-08,Lynyrd Skynyrd,40,44,28,40
2018-09-08,Luke Bryan,1,39,217,41
2018-09-08,Lauren Daigle,40,46,26,42
2018-09-08,Brett Young,26,33,91,43
2018-09-08,Cole Swindell,8,8,141,44
2018-09-08,twenty one pilots,1,50,176,45
2018-09-08,Charlie Puth,6,47,170,46
2018-09-08,Migos,1,43,99,47
2018-09-08,Kendrick Lamar,1,36,189,48
2018-09-08,Bad Bunny,30,42,24,49
2018-09-08,DJ Khaled,2,48,96,50
2018-09-08,Bazzi,34,49,31,51
2018-09-08,Dua Lipa,10,45,53,52
2018-09-08,Lil Baby,25,52,16,53
2018-09-08,Marshmello,25,51,46,54
2018-09-08,The Chainsmokers,1,62,144,55
2018-09-08,Lauv,54,54,18,56
2018-09-08,Halsey,1,59,142,57
2018-09-08,Eagles,10,53,30,58
2018-09-08,Sam Smith,1,74,134,59
2018-09-08,Old Dominion,10,61,101,60
2018-09-08,Quavo,47,81,36,61
2018-09-08,Metallica,2,69,168,62
2018-09-08,NF,8,66,47,63
2018-09-08,Eminem,1,64,218,64
2018-09-08,Normani,65,75,6,65
2018-09-08,P!nk,1,57,121,66
2018-09-08,Justin Timberlake,1,85,167,67
2018-09-08,Adele,1,80,186,68
2018-09-08,The Weeknd,1,63,203,69
2018-09-08,Childish Gambino,3,60,82,70
2018-09-08,Louis Tomlinson,33,0,8,71
2018-09-08,J. Cole,1,86,138,72
2018-09-08,Weezer,15,82,10,73
2018-09-08,Justin Bieber,1,72,209,74
2018-09-08,The Carters,3,70,11,75
2018-09-08,lovelytheband,76,92,4,76
2018-09-08,Demi Lovato,3,77,143,77
2018-09-08,Trippie Redd,13,55,3,78
2018-09-08,Queen,44,78,18,79
2018-09-08,Bryce Vine,80,0,0,80
2018-09-08,Maren Morris,15,0,86,81
2018-09-08,G-Eazy,6,89,102,82
2018-09-08,Daddy Yankee,19,58,56,83
2018-09-08,YG,16,90,29,84
2018-09-08,Fleetwood Mac,58,0,20,85
2018-09-08,Elvis Presley,20,67,40,86
2018-09-08,SZA,16,93,64,87
2018-09-08,Eric Church,8,73,155,88
2018-09-08,Queen Naija,28,96,6,89
2018-09-08,Anne-Marie,61,99,20,90
2018-09-08,Alessia Cara,12,83,140,91
2018-09-08,Portugal. The Man,16,91,61,92
2018-09-08,Jason Mraz,5,71,6,93
2018-09-08,Keith Urban,2,56,177,94
2018-09-08,Kanye West,1,98,101,95
2018-09-08,Dierks Bentley,3,87,104,96
2018-09-08,Billie Eilish,59,95,6,97
2018-09-08,Rich The Kid,16,97,29,98
2018-09-08,ABBA,38,94,7,99
2018-09-08,The Amity Affliction,72,0,2,100
