Name,NbsId,MetricDate,Followers
SEVENTEEN,1296814,8/14/2018 0:00,3524696
SEVENTEEN,1296814,8/15/2018 0:00,3525980
SEVENTEEN,1296814,8/16/2018 0:00,3528440
SEVENTEEN,1296814,8/17/2018 0:00,3531294
SEVENTEEN,1296814,8/18/2018 0:00,3534000
SEVENTEEN,1296814,8/19/2018 0:00,3536580
SEVENTEEN,1296814,8/20/2018 0:00,3538751
SEVENTEEN,1296814,8/21/2018 0:00,3540131
SEVENTEEN,1296814,8/22/2018 0:00,3542484
SEVENTEEN,1296814,8/23/2018 0:00,3544398
SEVENTEEN,1296814,8/24/2018 0:00,3546323
SEVENTEEN,1296814,8/25/2018 0:00,3548458
SEVENTEEN,1296814,8/26/2018 0:00,3550125
SEVENTEEN,1296814,8/27/2018 0:00,3552080
SEVENTEEN,1296814,8/28/2018 0:00,3553840
SEVENTEEN,1296814,8/29/2018 0:00,3555144
SEVENTEEN,1296814,8/30/2018 0:00,3557076
SEVENTEEN,1296814,8/31/2018 0:00,3559043
SEVENTEEN,1296814,9/1/2018 0:00,3560917
SEVENTEEN,1296814,9/2/2018 0:00,3563243
SEVENTEEN,1296814,9/3/2018 0:00,3565213
SEVENTEEN,1296814,9/4/2018 0:00,3567157
SEVENTEEN,1296814,9/5/2018 0:00,3568573
SEVENTEEN,1296814,9/6/2018 0:00,3570538
SEVENTEEN,1296814,9/8/2018 0:00,3570199
SEVENTEEN,1296814,9/11/2018 0:00,3576896
SEVENTEEN,1296814,9/12/2018 0:00,3578377
SEVENTEEN,1296814,9/13/2018 0:00,3580281
SEVENTEEN,1296814,9/14/2018 0:00,3582255
SEVENTEEN,1296814,9/15/2018 0:00,3584399
SEVENTEEN,1296814,9/16/2018 0:00,3586586
SEVENTEEN,1296814,9/17/2018 0:00,3589065
SEVENTEEN,1296814,9/18/2018 0:00,3590549
SEVENTEEN,1296814,9/19/2018 0:00,3592332
SEVENTEEN,1296814,9/20/2018 0:00,3594043
SEVENTEEN,1296814,9/21/2018 0:00,3595241
SEVENTEEN,1296814,9/22/2018 0:00,3596882
SEVENTEEN,1296814,9/23/2018 0:00,3598728
SEVENTEEN,1296814,9/24/2018 0:00,3600597
SEVENTEEN,1296814,9/25/2018 0:00,3602086
SEVENTEEN,1296814,9/26/2018 0:00,3603043
SEVENTEEN,1296814,9/27/2018 0:00,3604679
SEVENTEEN,1296814,9/28/2018 0:00,3605626
SEVENTEEN,1296814,9/29/2018 0:00,3607285
SEVENTEEN,1296814,9/30/2018 0:00,3609491
SEVENTEEN,1296814,10/1/2018 0:00,3611753
SEVENTEEN,1296814,10/2/2018 0:00,3613064
SEVENTEEN,1296814,10/3/2018 0:00,3615154
