ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-10-13,Lil Wayne,1,1,20,1
2018-10-13,Cher,2,0,0,2
2018-10-13,Logic,1,0,51,3
2018-10-13,BTS,1,7,104,4
2018-10-13,Drake,1,4,223,5
2018-10-13,Eminem,1,1,223,6
2018-10-13,Imagine Dragons,1,5,191,7
2018-10-13,Post Malone,1,6,119,8
2018-10-13,XXXTENTACION,1,10,60,9
2018-10-13,Ariana Grande,1,9,191,10
2018-10-13,Cardi B,1,11,64,11
2018-10-13,Travis Scott,1,8,126,12
2018-10-13,Ed Sheeran,1,12,217,13
2018-10-13,Maroon 5,1,15,223,14
2018-10-13,Juice WRLD,12,17,20,15
2018-10-13,Luke Combs,5,18,83,16
2018-10-13,Kevin Gates,5,0,52,17
2018-10-13,Tom Petty And The Heartbreakers,1,0,14,18
2018-10-13,Khalid,11,20,83,19
2018-10-13,5 Seconds Of Summer,1,19,80,20
2018-10-13,Ella Mai,17,22,24,21
2018-10-13,Shawn Mendes,1,25,191,22
2018-10-13,Lauren Daigle,3,14,31,23
2018-10-13,Kane Brown,5,21,68,24
2018-10-13,Taylor Swift,1,23,219,25
2018-10-13,Bruno Mars,1,24,211,26
2018-10-13,Kendrick Lamar,1,44,194,27
2018-10-13,Marshmello,25,36,51,28
2018-10-13,Selena Gomez,2,38,192,29
2018-10-13,Lady Gaga,1,0,83,30
2018-10-13,Panic! At The Disco,1,27,107,31
2018-10-13,Florida Georgia Line,1,26,223,32
2018-10-13,Dan + Shay,11,34,45,33
2018-10-13,Camila Cabello,1,37,95,34
2018-10-13,Bebe Rexha,23,30,85,35
2018-10-13,Nicki Minaj,2,32,212,36
2018-10-13,Carrie Underwood,1,16,160,37
2018-10-13,Chris Stapleton,1,33,154,38
2018-10-13,6ix9ine,13,31,38,39
2018-10-13,Charlie Puth,6,46,175,40
2018-10-13,Halsey,1,63,147,41
2018-10-13,Lil Baby,25,42,21,42
2018-10-13,Jason Aldean,1,45,201,43
2018-10-13,Thomas Rhett,1,43,192,44
2018-10-13,Lauv,43,66,23,45
2018-10-13,DJ Snake,16,0,99,46
2018-10-13,Bradley Cooper,47,0,0,47
2018-10-13,Josh Groban,2,2,18,48
2018-10-13,Kodak Black,6,0,67,49
2018-10-13,Bazzi,34,51,36,50
2018-10-13,Aretha Franklin,2,92,9,51
2018-10-13,Tyga,27,47,28,52
2018-10-13,NF,8,60,52,53
2018-10-13,Kanye West,1,56,105,54
2018-10-13,Elevation Worship,22,0,3,55
2018-10-13,Dua Lipa,10,48,58,56
2018-10-13,Avril Lavigne,41,41,2,57
2018-10-13,Young Thug,11,49,82,58
2018-10-13,DJ Khaled,2,52,101,59
2018-10-13,lovelytheband,60,65,9,60
2018-10-13,Bad Bunny,30,69,29,61
2018-10-13,twenty one pilots,1,70,181,62
2018-10-13,J Balvin,16,53,56,63
2018-10-13,Bastille,15,85,29,64
2018-10-13,The Chainsmokers,1,35,149,65
2018-10-13,Migos,1,62,104,66
2018-10-13,Luke Bryan,1,59,222,67
2018-10-13,Cole Swindell,8,57,146,68
2018-10-13,Lil Uzi Vert,2,40,102,69
2018-10-13,Michael Jackson,20,71,188,70
2018-10-13,Brett Young,26,64,96,71
2018-10-13,Russell Dickerson,69,76,13,72
2018-10-13,alt-J,14,0,6,73
2018-10-13,Kenny Chesney,1,72,159,74
2018-10-13,Lil Pump,12,55,40,75
2018-10-13,Weezer,15,83,15,76
2018-10-13,Prince,1,13,50,77
2018-10-13,Old Dominion,10,67,106,78
2018-10-13,Ozuna,17,86,47,79
2018-10-13,The Weeknd,1,77,208,80
2018-10-13,YoungBoy Never Broke Again,26,50,40,81
2018-10-13,Dierks Bentley,3,97,109,82
2018-10-13,Normani,65,79,11,83
2018-10-13,Louis Tomlinson,33,95,13,84
2018-10-13,Rod Stewart,47,0,2,85
2018-10-13,Maren Morris,15,94,91,86
2018-10-13,P!nk,1,90,126,87
2018-10-13,Queen,44,81,23,88
2018-10-13,Sheck Wes,88,88,2,89
2018-10-13,Blake Shelton,1,0,209,90
2018-10-13,Bryce Vine,80,98,6,91
2018-10-13,Beartooth,76,0,2,92
2018-10-13,Lynyrd Skynyrd,40,99,33,93
2018-10-13,Justin Timberlake,1,89,172,94
2018-10-13,YG,16,0,33,95
2018-10-13,Adele,1,87,191,96
2018-10-13,Quavo,47,91,41,97
2018-10-13,Gateway,98,0,0,98
2018-10-13,Metallica,2,82,173,99
2018-10-13,Sam Smith,1,0,138,100
