ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-12-08,Queen,1,2,31,1
2018-12-08,Ariana Grande,1,4,199,2
2018-12-08,Michael Buble,3,3,30,3
2018-12-08,Travis Scott,1,12,134,4
2018-12-08,Imagine Dragons,1,5,199,5
2018-12-08,Pentatonix,1,19,55,6
2018-12-08,BTS,1,11,112,7
2018-12-08,Drake,1,6,231,8
2018-12-08,Post Malone,1,7,127,9
2018-12-08,Halsey,1,9,155,10
2018-12-08,6ix9ine,11,53,46,11
2018-12-08,Panic! At The Disco,1,14,115,12
2018-12-08,Cardi B,1,10,72,13
2018-12-08,Billie Eilish,14,20,14,14
2018-12-08,Khalid,7,17,91,15
2018-12-08,Mariah Carey,8,8,29,16
2018-12-08,Lady Gaga,1,15,91,17
2018-12-08,XXXTENTACION,1,13,68,18
2018-12-08,Lauren Daigle,3,27,39,19
2018-12-08,Juice WRLD,8,16,28,20
2018-12-08,Luke Combs,5,18,91,21
2018-12-08,Kane Brown,2,21,76,22
2018-12-08,Dan + Shay,11,22,53,23
2018-12-08,Ella Mai,6,23,32,24
2018-12-08,Ed Sheeran,1,26,225,25
2018-12-08,Lil Baby,12,30,29,26
2018-12-08,Trans-Siberian Orchestra,19,59,29,27
2018-12-08,Eminem,1,24,231,28
2018-12-08,Bradley Cooper,3,28,9,29
2018-12-08,Shawn Mendes,1,36,199,30
2018-12-08,Kodak Black,6,25,75,31
2018-12-08,Marshmello,25,29,59,32
2018-12-08,5 Seconds Of Summer,1,31,88,33
2018-12-08,Camila Cabello,1,37,103,34
2018-12-08,twenty one pilots,1,41,189,35
2018-12-08,Chris Stapleton,1,32,162,36
2018-12-08,The Beatles,5,40,57,37
2018-12-08,Taylor Swift,1,44,227,38
2018-12-08,Andy Williams,39,64,19,39
2018-12-08,Elvis Presley,20,58,43,40
2018-12-08,Maroon 5,1,34,231,41
2018-12-08,Bruno Mars,1,35,219,42
2018-12-08,Sheck Wes,38,38,10,43
2018-12-08,Frank Sinatra,33,78,23,44
2018-12-08,Lil Wayne,1,42,28,45
2018-12-08,Casting Crowns,20,63,9,46
2018-12-08,Bing Crosby,35,61,22,47
2018-12-08,Bastille,15,47,37,48
2018-12-08,Nat King Cole,49,0,13,49
2018-12-08,Andrea Bocelli,1,97,11,50
2018-12-08,Burl Ives,51,76,18,51
2018-12-08,John Legend,15,82,107,52
2018-12-08,Bad Bunny,23,45,37,53
2018-12-08,Thomas Rhett,1,46,200,54
2018-12-08,Bazzi,34,50,44,55
2018-12-08,NCT 127,56,65,4,56
2018-12-08,NF,8,49,60,57
2018-12-08,Jason Aldean,1,52,209,58
2018-12-08,Mumford & Sons,1,1,29,59
2018-12-08,Gene Autry,60,84,10,60
2018-12-08,Kendrick Lamar,1,48,202,61
2018-12-08,lovelytheband,54,57,17,62
2018-12-08,Vince Guaraldi Trio,63,93,15,63
2018-12-08,Nicki Minaj,2,60,220,64
2018-12-08,Trippie Redd,13,39,7,65
2018-12-08,Dean Martin,65,0,8,66
2018-12-08,Josh Groban,2,0,20,67
2018-12-08,Florida Georgia Line,1,54,231,68
2018-12-08,Swae Lee,65,69,6,69
2018-12-08,DJ Snake,16,68,107,70
2018-12-08,Brenda Lee,62,0,10,71
2018-12-08,Gunna,22,71,8,72
2018-12-08,Carrie Underwood,1,75,168,73
2018-12-08,Blake Shelton,1,90,214,74
2018-12-08,for KING & COUNTRY,13,0,6,75
2018-12-08,Meek Mill,1,0,32,76
2018-12-08,Brett Young,26,62,104,77
2018-12-08,Bebe Rexha,23,56,93,78
2018-12-08,Jimmie Allen,61,72,7,79
2018-12-08,The Chainsmokers,1,43,157,80
2018-12-08,Eagles,10,0,32,81
2018-12-08,Dua Lipa,10,55,66,82
2018-12-08,Flipp Dinero,83,86,3,83
2018-12-08,Selena Gomez,2,73,200,84
2018-12-08,Kelly Clarkson,2,0,74,85
2018-12-08,MercyMe,15,0,32,86
2018-12-08,Bobby Helms,86,0,3,87
2018-12-08,Lauv,43,81,31,88
2018-12-08,Metro Boomin,14,70,14,89
2018-12-08,Tyga,27,74,36,90
2018-12-08,Wham!,24,0,4,91
2018-12-08,Mitchell Tenpenny,80,92,6,92
2018-12-08,Eric Clapton,15,0,10,93
2018-12-08,Gucci Mane,5,77,79,94
2018-12-08,Johnny Mathis,72,0,9,95
2018-12-08,The Weeknd,1,83,215,96
2018-12-08,Perry Como,97,0,0,97
2018-12-08,Michael Jackson,20,0,194,98
2018-12-08,Migos,1,79,112,99
2018-12-08,Mac Miller,6,0,8,100
