ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-08-25,Travis Scott,1,1,119,1
2018-08-25,Nicki Minaj,2,45,205,2
2018-08-25,Drake,1,2,216,3
2018-08-25,Aretha Franklin,4,0,2,4
2018-08-25,Post Malone,1,4,112,5
2018-08-25,Imagine Dragons,1,5,184,6
2018-08-25,BTS,1,3,97,7
2018-08-25,Cardi B,1,6,57,8
2018-08-25,Maroon 5,1,7,216,9
2018-08-25,Taylor Swift,1,13,212,10
2018-08-25,Jason Mraz,5,0,4,11
2018-08-25,Ed Sheeran,1,8,210,12
2018-08-25,Trippie Redd,13,0,0,13
2018-08-25,XXXTENTACION,1,10,53,14
2018-08-25,Juice WRLD,12,14,13,15
2018-08-25,Ariana Grande,1,11,184,16
2018-08-25,Luke Combs,5,15,76,17
2018-08-25,Kane Brown,5,17,61,18
2018-08-25,Kenny Chesney,1,12,152,19
2018-08-25,Florida Georgia Line,1,18,216,20
2018-08-25,Shawn Mendes,1,20,184,21
2018-08-25,Elvis Presley,20,0,38,22
2018-08-25,Khalid,11,23,76,23
2018-08-25,Jason Aldean,1,21,194,24
2018-08-25,Ella Mai,17,19,17,25
2018-08-25,Camila Cabello,1,22,88,26
2018-08-25,Bruno Mars,1,25,204,27
2018-08-25,5 Seconds Of Summer,1,28,73,28
2018-08-25,twenty one pilots,1,37,174,29
2018-08-25,Panic! At The Disco,1,32,100,30
2018-08-25,J Balvin,16,30,49,31
2018-08-25,Thomas Rhett,1,27,185,32
2018-08-25,Brett Young,26,26,89,33
2018-08-25,6ix9ine,13,24,31,34
2018-08-25,Chris Stapleton,1,33,147,35
2018-08-25,Dan + Shay,11,36,38,36
2018-08-25,Luke Bryan,1,31,215,37
2018-08-25,Kendrick Lamar,1,39,187,38
2018-08-25,Bebe Rexha,23,42,78,39
2018-08-25,Dua Lipa,10,34,51,40
2018-08-25,Selena Gomez,2,40,185,41
2018-08-25,Tyga,27,38,21,42
2018-08-25,Migos,1,44,97,43
2018-08-25,DJ Khaled,2,41,94,44
2018-08-25,Bad Bunny,30,43,22,45
2018-08-25,Bazzi,34,35,29,46
2018-08-25,Halsey,1,46,140,47
2018-08-25,Charlie Puth,6,48,168,48
2018-08-25,The Weeknd,1,64,201,49
2018-08-25,Lil Baby,25,51,14,50
2018-08-25,J. Cole,1,62,136,51
2018-08-25,Keith Urban,2,49,175,52
2018-08-25,YG,16,16,27,53
2018-08-25,Lauren Daigle,40,69,24,54
2018-08-25,Eminem,1,70,216,55
2018-08-25,Childish Gambino,3,52,80,56
2018-08-25,The Carters,3,53,9,57
2018-08-25,Quavo,47,0,34,58
2018-08-25,NF,8,58,45,59
2018-08-25,Demi Lovato,3,47,141,60
2018-08-25,The Chainsmokers,1,61,142,61
2018-08-25,Marshmello,25,54,44,62
2018-08-25,Old Dominion,10,57,99,63
2018-08-25,Queen,44,55,16,64
2018-08-25,P!nk,1,50,119,65
2018-08-25,YoungBoy Never Broke Again,26,91,33,66
2018-08-25,Kanye West,1,85,99,67
2018-08-25,Lynyrd Skynyrd,56,56,26,68
2018-08-25,Metallica,2,59,166,69
2018-08-25,Alessia Cara,12,63,138,70
2018-08-25,Michael Jackson,20,68,181,71
2018-08-25,Justin Bieber,1,66,207,72
2018-08-25,Lauv,58,65,16,73
2018-08-25,Weezer,15,81,8,74
2018-08-25,Adele,1,75,184,75
2018-08-25,Billie Eilish,59,88,4,76
2018-08-25,Normani,77,77,4,77
2018-08-25,ABBA,38,60,5,78
2018-08-25,Portugal. The Man,16,71,59,79
2018-08-25,G-Eazy,6,72,100,80
2018-08-25,Dierks Bentley,3,84,102,81
2018-08-25,lovelytheband,78,78,2,82
2018-08-25,SZA,16,82,62,83
2018-08-25,Justin Timberlake,1,67,165,84
2018-08-25,Anne-Marie,61,83,18,85
2018-08-25,Queen Naija,28,76,4,86
2018-08-25,Rich The Kid,16,74,27,87
2018-08-25,Foster The People,55,80,22,88
2018-08-25,Cole Swindell,10,0,139,89
2018-08-25,MercyMe,15,79,29,90
2018-08-25,H.E.R.,29,29,2,91
2018-08-25,Zedd,17,97,83,92
2018-08-25,Backstreet Boys,54,86,7,93
2018-08-25,Rihanna,2,0,209,94
2018-08-25,Ozuna,44,93,40,95
2018-08-25,Five Finger Death Punch,3,92,25,96
2018-08-25,Ciara,38,0,9,97
2018-08-25,Ty Dolla $ign,36,90,56,98
2018-08-25,Carrie Underwood,3,87,155,99
2018-08-25,Maren Morris,15,94,85,100
