ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-11-10,Andrea Bocelli,1,1,7,1
2018-11-10,Lady Gaga,1,2,87,2
2018-11-10,Drake,1,6,227,3
2018-11-10,Post Malone,1,5,123,4
2018-11-10,Cardi B,1,11,68,5
2018-11-10,Imagine Dragons,1,10,195,6
2018-11-10,Bradley Cooper,3,9,5,7
2018-11-10,Juice WRLD,8,8,24,8
2018-11-10,Halsey,1,15,151,9
2018-11-10,Ariana Grande,1,13,195,10
2018-11-10,XXXTENTACION,1,16,64,11
2018-11-10,Travis Scott,1,12,130,12
2018-11-10,Joji,13,0,0,13
2018-11-10,Khalid,7,7,87,14
2018-11-10,Eminem,1,14,227,15
2018-11-10,Queen,16,17,27,16
2018-11-10,BTS,1,4,108,17
2018-11-10,Lauren Daigle,3,27,35,18
2018-11-10,Ed Sheeran,1,18,221,19
2018-11-10,Maroon 5,1,21,227,20
2018-11-10,Luke Combs,5,22,87,21
2018-11-10,Panic! At The Disco,1,26,111,22
2018-11-10,Disturbed,3,3,49,23
2018-11-10,Ella Mai,6,19,28,24
2018-11-10,5 Seconds Of Summer,1,31,84,25
2018-11-10,Lil Baby,12,25,25,26
2018-11-10,Michael Jackson,20,48,192,27
2018-11-10,Shawn Mendes,1,32,195,28
2018-11-10,Lil Wayne,1,20,24,29
2018-11-10,twenty one pilots,1,24,185,30
2018-11-10,John Legend,15,0,103,31
2018-11-10,Dan + Shay,11,36,49,32
2018-11-10,Marshmello,25,34,55,33
2018-11-10,Kane Brown,5,23,72,34
2018-11-10,Bruno Mars,1,35,215,35
2018-11-10,Camila Cabello,1,33,99,36
2018-11-10,Kodak Black,6,37,71,37
2018-11-10,Taylor Swift,1,38,223,38
2018-11-10,Kanye West,1,0,108,39
2018-11-10,Chris Stapleton,1,40,158,40
2018-11-10,Greta Van Fleet,1,1,4,41
2018-11-10,P!nk,1,66,130,42
2018-11-10,Cher,2,0,4,43
2018-11-10,EXO,18,64,22,44
2018-11-10,Billie Eilish,45,52,10,45
2018-11-10,Pentatonix,1,0,51,46
2018-11-10,Bebe Rexha,23,43,89,47
2018-11-10,Dua Lipa,10,39,62,48
2018-11-10,Sheck Wes,43,61,6,49
2018-11-10,Bad Bunny,23,42,33,50
2018-11-10,Grateful Dead,25,0,16,51
2018-11-10,Tyga,27,70,32,52
2018-11-10,6ix9ine,13,45,42,53
2018-11-10,Nicki Minaj,2,62,216,54
2018-11-10,Tory Lanez,9,0,48,55
2018-11-10,Florida Georgia Line,1,47,227,56
2018-11-10,NF,8,55,56,57
2018-11-10,Selena Gomez,2,46,196,58
2018-11-10,Bazzi,34,50,40,59
2018-11-10,Josh Turner,21,0,10,60
2018-11-10,Jason Aldean,1,29,205,61
2018-11-10,Bastille,15,56,33,62
2018-11-10,lovelytheband,54,59,13,63
2018-11-10,Thomas Rhett,1,53,196,64
2018-11-10,Kendrick Lamar,1,54,198,65
2018-11-10,Gunna,22,57,4,66
2018-11-10,Future,1,30,150,67
2018-11-10,DJ Snake,16,63,103,68
2018-11-10,Eric Church,4,51,161,69
2018-11-10,Carrie Underwood,1,60,164,70
2018-11-10,Robyn,71,0,0,71
2018-11-10,The Chainsmokers,1,69,153,72
2018-11-10,Lauv,43,71,27,73
2018-11-10,Jimmie Allen,67,79,3,74
2018-11-10,Quavo,11,44,45,75
2018-11-10,Brett Young,26,73,100,76
2018-11-10,Swae Lee,67,67,2,77
2018-11-10,Bobby "Boris" Pickett And The Crypt-Kickers,78,0,2,78
2018-11-10,Steve Aoki,73,0,2,79
2018-11-10,YoungBoy Never Broke Again,26,83,44,80
2018-11-10,NCT,51,0,5,81
2018-11-10,Rihanna,2,0,216,82
2018-11-10,Lukas Graham,5,0,46,83
2018-11-10,Maren Morris,15,78,95,84
2018-11-10,Zedd,17,90,87,85
2018-11-10,Lil Pump,12,0,42,86
2018-11-10,Lynyrd Skynyrd,40,84,37,87
2018-11-10,Adele,1,92,195,88
2018-11-10,Metallica,2,77,176,89
2018-11-10,Migos,1,80,108,90
2018-11-10,The Weeknd,1,100,211,91
2018-11-10,J Balvin,16,82,60,92
2018-11-10,Normani,65,74,15,93
2018-11-10,Justin Bieber,1,0,215,94
2018-11-10,Luke Bryan,1,91,226,95
2018-11-10,Mitchell Tenpenny,89,89,2,96
2018-11-10,Ozuna,17,81,51,97
2018-11-10,Offset,75,96,13,98
2018-11-10,Kenny Chesney,1,95,163,99
2018-11-10,Thom Yorke,100,0,0,100
