ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-11-17,Queen,1,16,28,1
2018-11-17,Ariana Grande,1,10,196,2
2018-11-17,Lady Gaga,1,2,88,3
2018-11-17,BTS,1,17,109,4
2018-11-17,Imagine Dragons,1,6,196,5
2018-11-17,Drake,1,3,228,6
2018-11-17,Post Malone,1,4,124,7
2018-11-17,Cardi B,1,5,69,8
2018-11-17,EXO,9,44,23,9
2018-11-17,Halsey,1,9,152,10
2018-11-17,Panic! At The Disco,1,22,112,11
2018-11-17,Bradley Cooper,3,7,6,12
2018-11-17,Travis Scott,1,12,131,13
2018-11-17,Metro Boomin,14,0,11,14
2018-11-17,XXXTENTACION,1,11,65,15
2018-11-17,Barbra Streisand,2,0,20,16
2018-11-17,Juice WRLD,8,8,25,17
2018-11-17,Khalid,7,14,88,18
2018-11-17,Lauren Daigle,3,18,36,19
2018-11-17,Eminem,1,15,228,20
2018-11-17,Ed Sheeran,1,19,222,21
2018-11-17,Luke Combs,5,21,88,22
2018-11-17,Pistol Annies,23,0,0,23
2018-11-17,Maroon 5,1,20,228,24
2018-11-17,Ella Mai,6,24,29,25
2018-11-17,5 Seconds Of Summer,1,25,85,26
2018-11-17,Metallica,2,89,177,27
2018-11-17,Lil Baby,12,26,26,28
2018-11-17,Shawn Mendes,1,28,196,29
2018-11-17,Dan + Shay,11,32,50,30
2018-11-17,twenty one pilots,1,30,186,31
2018-11-17,Kane Brown,5,34,73,32
2018-11-17,Marshmello,25,33,56,33
2018-11-17,Lil Wayne,1,29,25,34
2018-11-17,Bruno Mars,1,35,216,35
2018-11-17,Camila Cabello,1,36,100,36
2018-11-17,Bob Dylan,17,0,7,37
2018-11-17,Chris Stapleton,1,40,159,38
2018-11-17,Kodak Black,6,37,72,39
2018-11-17,Billie Eilish,40,45,11,40
2018-11-17,Taylor Swift,1,38,224,41
2018-11-17,Andrea Bocelli,1,1,8,42
2018-11-17,Bebe Rexha,23,47,90,43
2018-11-17,Chris Tomlin,17,0,19,44
2018-11-17,Sheck Wes,43,49,7,45
2018-11-17,Pentatonix,1,46,52,46
2018-11-17,TakeOff,47,0,0,47
2018-11-17,Bad Bunny,23,50,34,48
2018-11-17,Disturbed,3,23,50,49
2018-11-17,NF,8,57,57,50
2018-11-17,Bastille,15,62,34,51
2018-11-17,Thomas Rhett,1,64,197,52
2018-11-17,Bazzi,34,59,41,53
2018-11-17,Gunna,22,66,5,54
2018-11-17,Tyga,27,52,33,55
2018-11-17,Florida Georgia Line,1,56,228,56
2018-11-17,Nicki Minaj,2,54,217,57
2018-11-17,Michael Jackson,20,27,193,58
2018-11-17,Kendrick Lamar,1,65,199,59
2018-11-17,Dua Lipa,10,48,63,60
2018-11-17,lovelytheband,54,63,14,61
2018-11-17,Jason Aldean,1,61,206,62
2018-11-17,Brett Young,26,76,101,63
2018-11-17,6ix9ine,13,53,43,64
2018-11-17,Selena Gomez,2,58,197,65
2018-11-17,DJ Snake,16,68,104,66
2018-11-17,Jimmie Allen,67,74,4,67
2018-11-17,Greta Van Fleet,1,41,5,68
2018-11-17,P!nk,1,42,131,69
2018-11-17,The Chainsmokers,1,72,154,70
2018-11-17,Carrie Underwood,1,70,165,71
2018-11-17,Lauv,43,73,28,72
2018-11-17,Swae Lee,67,77,3,73
2018-11-17,H.E.R.,29,0,3,74
2018-11-17,Dierks Bentley,3,0,110,75
2018-11-17,Eric Church,4,69,162,76
2018-11-17,Maren Morris,15,84,96,77
2018-11-17,The Weeknd,1,91,212,78
2018-11-17,Rihanna,2,82,217,79
2018-11-17,Luke Bryan,1,95,227,80
2018-11-17,Josh Turner,21,60,11,81
2018-11-17,Mitchell Tenpenny,82,96,3,82
2018-11-17,Zedd,17,85,88,83
2018-11-17,Alan Jackson,20,0,28,84
2018-11-17,Lynyrd Skynyrd,40,87,38,85
2018-11-17,John Legend,15,31,104,86
2018-11-17,21 Savage,8,0,60,87
2018-11-17,YoungBoy Never Broke Again,26,80,45,88
2018-11-17,Blake Shelton,1,0,211,89
2018-11-17,J Balvin,16,92,61,90
2018-11-17,Normani,65,93,16,91
2018-11-17,Charlie Puth,6,0,179,92
2018-11-17,Quavo,11,75,46,93
2018-11-17,Migos,1,90,109,94
2018-11-17,Offset,75,98,14,95
2018-11-17,Adele,1,88,196,96
2018-11-17,for KING & COUNTRY,13,0,5,97
2018-11-17,Ozuna,17,97,52,98
2018-11-17,Cole Swindell,8,0,150,99
2018-11-17,Gucci Mane,5,0,76,100
